call_id,caller_person_id,receiver_person_id,timestamp,duration_seconds,call_type
CALL_00001,SYN_P_0896,SYN_P_0793,2025-04-01 01:06:00,264,voice
CALL_00002,SYN_P_0371,SYN_P_0252,2025-06-10 05:34:00,1576,voice
CALL_00003,SYN_P_0085,SYN_P_0144,2025-02-07 22:17:00,240,conference
CALL_00004,SYN_P_0550,SYN_P_0261,2024-05-19 15:37:00,1541,conference
CALL_00005,SYN_P_0867,SYN_P_0420,2024-02-28 03:54:00,1372,conference
CALL_00006,SYN_P_0123,SYN_P_0021,2024-06-11 06:49:00,711,conference
CALL_00007,SYN_P_0568,SYN_P_0583,2025-09-17 22:41:00,512,voice
CALL_00008,SYN_P_0452,SYN_P_0547,2025-05-29 21:31:00,1741,voice
CALL_00009,SYN_P_0311,SYN_P_0048,2025-04-06 06:05:00,1581,voice
CALL_00010,SYN_P_0352,SYN_P_0785,2024-10-22 20:17:00,1129,conference
CALL_00011,SYN_P_0036,SYN_P_0329,2024-05-12 18:53:00,1189,conference
CALL_00012,SYN_P_0553,SYN_P_0996,2024-06-30 09:48:00,215,voice
CALL_00013,SYN_P_0833,SYN_P_0453,2024-12-18 11:22:00,961,conference
CALL_00014,SYN_P_0340,SYN_P_0356,2024-11-16 21:29:00,592,voice
CALL_00015,SYN_P_0007,SYN_P_0490,2025-03-25 06:39:00,911,conference
CALL_00016,SYN_P_0792,SYN_P_0914,2024-11-06 18:26:00,495,voice
CALL_00017,SYN_P_0168,SYN_P_0837,2025-10-08 19:34:00,926,voice
CALL_00018,SYN_P_0788,SYN_P_0779,2024-02-03 12:50:00,1128,missed
CALL_00019,SYN_P_0421,SYN_P_1007,2025-09-27 22:02:00,1637,conference
CALL_00020,SYN_P_0702,SYN_P_0660,2024-01-31 04:04:00,1042,conference
CALL_00021,SYN_P_0795,SYN_P_0906,2024-10-26 05:40:00,783,voice
CALL_00022,SYN_P_0159,SYN_P_0774,2024-09-02 05:21:00,1633,missed
CALL_00023,SYN_P_0425,SYN_P_0447,2025-04-02 14:29:00,743,missed
CALL_00024,SYN_P_0562,SYN_P_0510,2025-02-27 07:57:00,492,missed
CALL_00025,SYN_P_0962,SYN_P_0050,2024-12-21 10:57:00,1341,conference
CALL_00026,SYN_P_0133,SYN_P_0927,2024-02-01 20:44:00,816,conference
CALL_00027,SYN_P_0707,SYN_P_0737,2025-07-08 19:53:00,61,missed
CALL_00028,SYN_P_0894,SYN_P_0913,2025-09-09 16:41:00,203,missed
CALL_00029,SYN_P_0523,SYN_P_0714,2024-11-28 20:38:00,571,missed
CALL_00030,SYN_P_0533,SYN_P_0981,2024-08-18 05:55:00,365,voice
CALL_00031,SYN_P_0401,SYN_P_0075,2025-07-09 12:26:00,766,voice
CALL_00032,SYN_P_0469,SYN_P_0185,2024-08-19 04:50:00,209,conference
CALL_00033,SYN_P_0103,SYN_P_0513,2024-04-25 10:10:00,1095,missed
CALL_00034,SYN_P_0928,SYN_P_0306,2025-03-02 22:26:00,310,missed
CALL_00035,SYN_P_0571,SYN_P_0381,2024-11-29 15:13:00,858,missed
CALL_00036,SYN_P_0342,SYN_P_0137,2024-12-03 14:32:00,208,conference
CALL_00037,SYN_P_0107,SYN_P_0361,2025-02-23 18:49:00,1142,missed
CALL_00038,SYN_P_0867,SYN_P_0344,2024-12-10 01:22:00,55,voice
CALL_00039,SYN_P_0158,SYN_P_0138,2024-05-27 20:02:00,571,voice
CALL_00040,SYN_P_0255,SYN_P_0948,2025-06-21 07:03:00,1501,voice
CALL_00041,SYN_P_0313,SYN_P_0383,2024-12-23 17:58:00,1631,voice
CALL_00042,SYN_P_0667,SYN_P_0352,2025-01-31 14:53:00,1071,voice
CALL_00043,SYN_P_1026,SYN_P_1034,2024-03-23 19:03:00,826,voice
CALL_00044,SYN_P_0343,SYN_P_0100,2025-11-14 03:04:00,339,voice
CALL_00045,SYN_P_0496,SYN_P_0753,2025-02-10 17:26:00,967,voice
CALL_00046,SYN_P_0932,SYN_P_0359,2024-06-09 00:27:00,1481,voice
CALL_00047,SYN_P_0332,SYN_P_0087,2024-04-07 16:24:00,792,voice
CALL_00048,SYN_P_0002,SYN_P_0589,2025-11-02 01:10:00,1103,missed
CALL_00049,SYN_P_0809,SYN_P_0828,2025-11-10 13:33:00,1345,conference
CALL_00050,SYN_P_0725,SYN_P_0830,2025-01-01 04:06:00,1092,missed
CALL_00051,SYN_P_0342,SYN_P_1031,2025-12-28 18:42:00,278,voice
CALL_00052,SYN_P_0424,SYN_P_0151,2025-06-19 05:06:00,1744,missed
CALL_00053,SYN_P_0237,SYN_P_0845,2025-07-11 03:52:00,789,missed
CALL_00054,SYN_P_0766,SYN_P_0049,2025-04-03 02:09:00,1017,voice
CALL_00055,SYN_P_0033,SYN_P_0442,2025-09-26 07:08:00,1607,conference
CALL_00056,SYN_P_0302,SYN_P_0922,2024-07-22 15:56:00,1349,missed
CALL_00057,SYN_P_0812,SYN_P_0501,2024-07-26 06:16:00,53,voice
CALL_00058,SYN_P_0900,SYN_P_0518,2025-12-09 22:02:00,837,missed
CALL_00059,SYN_P_0953,SYN_P_0761,2024-10-25 02:31:00,968,voice
CALL_00060,SYN_P_0852,SYN_P_0106,2024-12-23 08:09:00,318,conference
CALL_00061,SYN_P_0208,SYN_P_0606,2025-06-28 17:29:00,128,missed
CALL_00062,SYN_P_0953,SYN_P_0792,2025-09-23 03:48:00,179,conference
CALL_00063,SYN_P_0603,SYN_P_0727,2025-11-25 20:08:00,102,missed
CALL_00064,SYN_P_0139,SYN_P_0722,2025-04-27 17:06:00,416,missed
CALL_00065,SYN_P_1038,SYN_P_0340,2024-01-17 02:26:00,227,voice
CALL_00066,SYN_P_0553,SYN_P_0123,2024-02-05 22:45:00,1063,voice
CALL_00067,SYN_P_0761,SYN_P_0050,2025-10-14 23:16:00,846,missed
CALL_00068,SYN_P_0943,SYN_P_0711,2025-04-20 13:33:00,603,missed
CALL_00069,SYN_P_0105,SYN_P_0253,2025-09-30 11:06:00,1573,missed
CALL_00070,SYN_P_0888,SYN_P_0075,2024-04-07 23:55:00,334,missed
CALL_00071,SYN_P_0677,SYN_P_0901,2025-01-24 00:01:00,314,voice
CALL_00072,SYN_P_0403,SYN_P_0191,2025-07-13 01:54:00,584,missed
CALL_00073,SYN_P_0452,SYN_P_0086,2024-03-05 02:22:00,640,voice
CALL_00074,SYN_P_0273,SYN_P_0399,2025-09-01 07:17:00,1185,voice
CALL_00075,SYN_P_0856,SYN_P_0311,2025-09-13 17:38:00,1140,conference
CALL_00076,SYN_P_0523,SYN_P_0432,2024-01-01 19:49:00,155,voice
CALL_00077,SYN_P_0077,SYN_P_0544,2025-12-03 22:20:00,1631,voice
CALL_00078,SYN_P_0449,SYN_P_0960,2024-08-29 04:16:00,1397,missed
CALL_00079,SYN_P_0234,SYN_P_0164,2025-10-31 08:24:00,1682,missed
CALL_00080,SYN_P_0763,SYN_P_0961,2025-01-10 20:40:00,1201,conference
CALL_00081,SYN_P_0678,SYN_P_0669,2024-08-14 14:33:00,1387,conference
CALL_00082,SYN_P_0572,SYN_P_0503,2024-11-25 10:13:00,1688,voice
CALL_00083,SYN_P_0889,SYN_P_0990,2025-01-31 09:40:00,692,conference
CALL_00084,SYN_P_0616,SYN_P_1022,2025-08-12 09:36:00,125,conference
CALL_00085,SYN_P_0616,SYN_P_0528,2024-06-04 02:19:00,1707,voice
CALL_00086,SYN_P_0458,SYN_P_0449,2024-12-28 06:01:00,970,voice
CALL_00087,SYN_P_0202,SYN_P_1036,2025-06-12 15:31:00,865,conference
CALL_00088,SYN_P_0819,SYN_P_0859,2025-04-27 08:44:00,632,voice
CALL_00089,SYN_P_0497,SYN_P_0333,2025-12-01 18:14:00,1377,voice
CALL_00090,SYN_P_0643,SYN_P_0117,2025-09-26 10:08:00,851,missed
CALL_00091,SYN_P_0316,SYN_P_0849,2025-11-20 02:38:00,82,missed
CALL_00092,SYN_P_0759,SYN_P_0243,2025-03-24 13:38:00,502,missed
CALL_00093,SYN_P_1008,SYN_P_0812,2024-11-07 16:50:00,850,missed
CALL_00094,SYN_P_0482,SYN_P_0587,2024-12-20 05:42:00,1270,voice
CALL_00095,SYN_P_0689,SYN_P_0327,2025-04-21 10:28:00,1235,missed
