organization_id,organization_name,city,state,country,source
ORG_0001,National Supply Co. Enterprises,Chennai,Tamil Nadu,India,synthetic
ORG_0002,Apex Logistics Industries,Haridwar,Uttarakhand,India,synthetic
ORG_0003,Metroline Services Pvt Ltd,Lucknow,Uttar Pradesh,India,synthetic
ORG_0004,Greenfield Constructions Enterprises,Surat,Gujarat,India,synthetic
ORG_0005,SilverOak Imports Pvt Ltd,Surat,Gujarat,India,synthetic
ORG_0006,Apex Logistics Services,Ghaziabad,Uttar Pradesh,India,synthetic
ORG_0007,NorthStar Trading Services,Indore,Madhya Pradesh,India,synthetic
ORG_0008,NorthStar Trading Services,Bhopal,Madhya Pradesh,India,synthetic
ORG_0009,Pragati Enterprises Services,Kolkata,West Bengal,India,synthetic
ORG_0010,NorthStar Trading Enterprises,Noida,Uttar Pradesh,India,synthetic
ORG_0011,Sapphire Distributors Pvt Ltd,Patna,Bihar,India,synthetic
ORG_0012,BlueRiver Exports Enterprises,Ranchi,Jharkhand,India,synthetic
ORG_0013,Sapphire Distributors Industries,Lucknow,Uttar Pradesh,India,synthetic
ORG_0014,BlueRiver Exports India LLP,Lucknow,Uttar Pradesh,India,synthetic
ORG_0015,UrbanLink Transport Services,Haridwar,Uttarakhand,India,synthetic
ORG_0016,National Supply Co. Pvt Ltd,Bhubaneswar,Odisha,India,synthetic
ORG_0017,Crescent Finance India LLP,Bengaluru,Karnataka,India,synthetic
ORG_0018,NorthStar Trading Pvt Ltd,Meerut,Uttar Pradesh,India,synthetic
ORG_0019,Crescent Finance Pvt Ltd,Lucknow,Uttar Pradesh,India,synthetic
ORG_0020,NorthStar Trading India LLP,Hyderabad,Telangana,India,synthetic
ORG_0021,NorthStar Trading Industries,Jaipur,Rajasthan,India,synthetic
ORG_0022,SilverOak Imports Enterprises,Delhi,Delhi,India,synthetic
ORG_0023,Metroline Services Pvt Ltd,Surat,Gujarat,India,synthetic
ORG_0024,Vertex Technologies Industries,Meerut,Uttar Pradesh,India,synthetic
ORG_0025,Shakti Infrastructure India LLP,Bengaluru,Karnataka,India,synthetic
ORG_0026,Vertex Technologies Enterprises,Chennai,Tamil Nadu,India,synthetic
ORG_0027,Pragati Enterprises Enterprises,Patna,Bihar,India,synthetic
ORG_0028,Metroline Services India LLP,Meerut,Uttar Pradesh,India,synthetic
ORG_0029,Apex Logistics India LLP,Indore,Madhya Pradesh,India,synthetic
ORG_0030,SilverOak Imports India LLP,Lucknow,Uttar Pradesh,India,synthetic
ORG_0031,Sapphire Distributors Enterprises,Kanpur,Uttar Pradesh,India,synthetic
ORG_0032,Pragati Enterprises Industries,Jaipur,Rajasthan,India,synthetic
ORG_0033,Vertex Technologies Pvt Ltd,Haridwar,Uttarakhand,India,synthetic
ORG_0034,Pragati Enterprises Services,Kolkata,West Bengal,India,synthetic
ORG_0035,Vertex Technologies Industries,Patna,Bihar,India,synthetic
ORG_0036,Pioneer Telecom Pvt Ltd,Nagpur,Maharashtra,India,synthetic
ORG_0037,Metroline Services Industries,Surat,Gujarat,India,synthetic
ORG_0038,Apex Logistics Services,Lucknow,Uttar Pradesh,India,synthetic
ORG_0039,NorthStar Trading Enterprises,Surat,Gujarat,India,synthetic
ORG_0040,Apex Logistics Enterprises,Nagpur,Maharashtra,India,synthetic
ORG_0041,Apex Logistics Enterprises,Haridwar,Uttarakhand,India,synthetic
ORG_0042,Apex Logistics Services,Surat,Gujarat,India,synthetic
ORG_0043,Pragati Enterprises Industries,Lucknow,Uttar Pradesh,India,synthetic
ORG_0044,Apex Logistics India LLP,Dehradun,Uttarakhand,India,synthetic
ORG_0045,Sapphire Distributors Enterprises,Pune,Maharashtra,India,synthetic
ORG_0046,Horizon Retail Enterprises,Jaipur,Rajasthan,India,synthetic
ORG_0047,Sapphire Distributors Pvt Ltd,Nagpur,Maharashtra,India,synthetic
ORG_0048,UrbanLink Transport India LLP,Kanpur,Uttar Pradesh,India,synthetic
ORG_0049,UrbanLink Transport Enterprises,Pune,Maharashtra,India,synthetic
ORG_0050,Pragati Enterprises India LLP,Mumbai,Maharashtra,India,synthetic
ORG_0051,Greenfield Constructions Services,Dehradun,Uttarakhand,India,synthetic
ORG_0052,NorthStar Trading Industries,Nagpur,Maharashtra,India,synthetic
ORG_0053,Pragati Enterprises Enterprises,Nagpur,Maharashtra,India,synthetic
ORG_0054,Shakti Infrastructure Enterprises,Patna,Bihar,India,synthetic
ORG_0055,National Supply Co. Enterprises,Ranchi,Jharkhand,India,synthetic
ORG_0056,Sapphire Distributors Services,Patna,Bihar,India,synthetic
ORG_0057,Pioneer Telecom Services,Lucknow,Uttar Pradesh,India,synthetic
ORG_0058,Crescent Finance Services,Kolkata,West Bengal,India,synthetic
ORG_0059,Crescent Finance Industries,Kolkata,West Bengal,India,synthetic
ORG_0060,Apex Logistics Pvt Ltd,Ghaziabad,Uttar Pradesh,India,synthetic
