relationship_id,source_id,source_type,relationship,target_id,target_type,timestamp,source_document,confidence,provenance,duration_sec,communication_type,subject,direction,amount,channel,is_anomaly,anomaly_type,purpose
CALL_00001,SYN_P_0896,Person,CALLED,SYN_P_0793,Person,2025-04-01 01:06:00,,1.0,synthetic,264.0,voice,,,,,,,
CALL_00002,SYN_P_0371,Person,CALLED,SYN_P_0252,Person,2025-06-10 05:34:00,,1.0,synthetic,1576.0,voice,,,,,,,
CALL_00003,SYN_P_0085,Person,CALLED,SYN_P_0144,Person,2025-02-07 22:17:00,,1.0,synthetic,240.0,conference,,,,,,,
CALL_00004,SYN_P_0550,Person,CALLED,SYN_P_0261,Person,2024-05-19 15:37:00,,1.0,synthetic,1541.0,conference,,,,,,,
CALL_00005,SYN_P_0867,Person,CALLED,SYN_P_0420,Person,2024-02-28 03:54:00,,1.0,synthetic,1372.0,conference,,,,,,,
CALL_00006,SYN_P_0123,Person,CALLED,SYN_P_0021,Person,2024-06-11 06:49:00,,1.0,synthetic,711.0,conference,,,,,,,
CALL_00007,SYN_P_0568,Person,CALLED,SYN_P_0583,Person,2025-09-17 22:41:00,,1.0,synthetic,512.0,voice,,,,,,,
CALL_00008,SYN_P_0452,Person,CALLED,SYN_P_0547,Person,2025-05-29 21:31:00,,1.0,synthetic,1741.0,voice,,,,,,,
CALL_00009,SYN_P_0311,Person,CALLED,SYN_P_0048,Person,2025-04-06 06:05:00,,1.0,synthetic,1581.0,voice,,,,,,,
CALL_00010,SYN_P_0352,Person,CALLED,SYN_P_0785,Person,2024-10-22 20:17:00,,1.0,synthetic,1129.0,conference,,,,,,,
CALL_00011,SYN_P_0036,Person,CALLED,SYN_P_0329,Person,2024-05-12 18:53:00,,1.0,synthetic,1189.0,conference,,,,,,,
CALL_00012,SYN_P_0553,Person,CALLED,SYN_P_0996,Person,2024-06-30 09:48:00,,1.0,synthetic,215.0,voice,,,,,,,
CALL_00013,SYN_P_0833,Person,CALLED,SYN_P_0453,Person,2024-12-18 11:22:00,,1.0,synthetic,961.0,conference,,,,,,,
CALL_00014,SYN_P_0340,Person,CALLED,SYN_P_0356,Person,2024-11-16 21:29:00,,1.0,synthetic,592.0,voice,,,,,,,
CALL_00015,SYN_P_0007,Person,CALLED,SYN_P_0490,Person,2025-03-25 06:39:00,,1.0,synthetic,911.0,conference,,,,,,,
CALL_00016,SYN_P_0792,Person,CALLED,SYN_P_0914,Person,2024-11-06 18:26:00,,1.0,synthetic,495.0,voice,,,,,,,
CALL_00017,SYN_P_0168,Person,CALLED,SYN_P_0837,Person,2025-10-08 19:34:00,,1.0,synthetic,926.0,voice,,,,,,,
CALL_00018,SYN_P_0788,Person,CALLED,SYN_P_0779,Person,2024-02-03 12:50:00,,1.0,synthetic,1128.0,missed,,,,,,,
